Sample_ID,pN,clusters
1,1,8
2,1,2
2,1,7
3,1,1
3,1,8
4,1,5
5,1,2
5,1,7
6,1,2
6,1,7
7,1,4
7,1,6
7,1,7
8,1,1
9,1,1
9,1,4
9,1,6
10,1,4
10,1,6
11,1,2
11,1,4
11,1,7
12,2,1
12,2,3
13,2,3
14,2,1
14,2,3
15,2,2
15,2,3
15,2,5
16,2,1
16,2,3
17,2,5
18,2,4
19,2,3
20,2,2
20,2,7
21,2,2
21,2,6
22,2,2
22,2,5
23,2,8
24,2,2
24,2,7
25,2,3
26,2,2
26,2,5
26,2,7
27,2,3
28,2,2
28,2,3
28,2,6
29,2,2
29,2,3
30,2,6
31,2,1
32,2,2
32,2,3
