Sample_ID,pN,clusters
1,1,6
2,1,1
2,1,5
3,1,2
3,1,6
4,1,5
5,1,1
5,1,5
6,1,1
6,1,5
7,1,7
8,1,2
9,1,2
9,1,4
9,1,7
10,1,4
10,1,7
11,1,1
11,1,5
11,1,7
12,2,2
12,2,3
13,2,3
14,2,2
14,2,3
15,2,1
15,2,3
15,2,5
16,2,2
16,2,3
17,2,5
18,2,7
19,2,3
20,2,1
20,2,5
21,2,1
21,2,4
22,2,1
22,2,5
23,2,6
24,2,1
24,2,5
25,2,3
26,2,1
26,2,5
27,2,3
28,2,1
28,2,3
28,2,4
29,2,1
29,2,3
30,2,4
31,2,2
32,2,1
32,2,3
